[15:48:43] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53539 -> 13.107.5.93:443
[15:48:43] ALLOWED (SAFE TRAFFIC) | UDP | 10.184.0.59:60263 -> 10.184.0.171:53
[15:48:43] ALLOWED (SAFE TRAFFIC) | UDP | 10.184.0.59:50493 -> 10.184.0.171:53
[15:48:43] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53538 -> 13.107.5.93:443
[15:48:43] UNKNOWN (NEEDS REVIEW) | TCP | 13.107.5.93:443 -> 10.184.0.59:53548
[15:48:43] ALLOWED (SAFE TRAFFIC) | UDP | 10.184.0.59:62517 -> 10.184.0.171:53
[15:48:43] ALLOWED (SAFE TRAFFIC) | UDP | 10.184.0.59:49262 -> 10.184.0.171:53
[15:48:43] UNKNOWN (NEEDS REVIEW) | UDP | 10.184.0.171:53 -> 10.184.0.59:60263
[15:48:43] UNKNOWN (NEEDS REVIEW) | UDP | 10.184.0.171:53 -> 10.184.0.59:58140
[15:48:43] UNKNOWN (NEEDS REVIEW) | UDP | 10.184.0.171:53 -> 10.184.0.59:64656
[15:48:43] UNKNOWN (NEEDS REVIEW) | UDP | 10.184.0.171:53 -> 10.184.0.59:50493
[15:48:43] ALLOWED (SAFE TRAFFIC) | UDP | 10.184.0.59:58083 -> 10.184.0.171:53
[15:48:43] ALLOWED (SAFE TRAFFIC) | UDP | 10.184.0.59:63443 -> 10.184.0.171:53
[15:48:43] UNKNOWN (NEEDS REVIEW) | UDP | 10.184.0.171:53 -> 10.184.0.59:58083
[15:48:43] UNKNOWN (NEEDS REVIEW) | UDP | 10.184.0.171:53 -> 10.184.0.59:63443
[15:48:43] UNKNOWN (NEEDS REVIEW) | TCP | 140.82.112.21:443 -> 10.184.0.59:53554
[15:48:43] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53554 -> 140.82.112.21:443
[15:48:44] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53563 -> 20.189.172.33:443
[15:48:44] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53564 -> 20.207.73.85:443
[15:48:44] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53565 -> 52.182.143.208:443
[15:48:44] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53566 -> 52.182.143.208:443
[15:48:44] UNKNOWN (NEEDS REVIEW) | TCP | 13.107.5.93:443 -> 10.184.0.59:53548
[15:48:44] ALLOWED (SAFE TRAFFIC) | UDP | 10.184.0.59:50819 -> 10.184.0.171:53
[15:48:44] ALLOWED (SAFE TRAFFIC) | UDP | 10.184.0.59:51029 -> 10.184.0.171:53
[15:48:44] UNKNOWN (NEEDS REVIEW) | TCP | 20.207.73.85:443 -> 10.184.0.59:53564
[15:48:44] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53564 -> 20.207.73.85:443
[15:48:44] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53564 -> 20.207.73.85:443
[15:48:44] UNKNOWN (NEEDS REVIEW) | UDP | 10.184.0.171:53 -> 10.184.0.59:51029
[15:48:44] UNKNOWN (NEEDS REVIEW) | UDP | 10.184.0.171:53 -> 10.184.0.59:50819
[15:48:44] UNKNOWN (NEEDS REVIEW) | TCP | 20.189.172.33:443 -> 10.184.0.59:53563
[15:48:44] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53563 -> 20.189.172.33:443
[15:48:44] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53563 -> 20.189.172.33:443
[15:48:44] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53567 -> 140.82.112.21:443
[15:48:45] UNKNOWN (NEEDS REVIEW) | TCP | 52.182.143.208:443 -> 10.184.0.59:53565
[15:48:45] UNKNOWN (NEEDS REVIEW) | TCP | 52.182.143.208:443 -> 10.184.0.59:53566
[15:48:45] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53539 -> 13.107.5.93:443
[15:48:45] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53564 -> 20.207.73.85:443
[15:48:45] UNKNOWN (NEEDS REVIEW) | TCP | 13.107.5.93:443 -> 10.184.0.59:53539
